"","Raw.genus","Raw.species"
"1","Formica","Formica creightoni"
"2","Tapinoma","Tapinoma acuminatum"
"3","Terataner","Terataner alluaudi"
"4","Anochetus","Anochetus africanus"
"5","Recurvidris","Recurvidris hebe"
"6","Plagiolepis","Plagiolepis dichroa"
"7","Leptogenys","Leptogenys mactans"
"8","Pheidole","Pheidole capensis"
"9","Tetramorium","Tetramorium concaviceps"
"10","Tetramorium","Tetramorium marginatum"
"11","Oligomyrmex","Oligomyrmex eidmanni"
"12","Crematogaster","Crematogaster perelegans"
"13","Crematogaster","Crematogaster biformis"
"14","Neivamyrmex","Neivamyrmex vicinus"
"15","Neivamyrmex","Neivamyrmex macropterus"
"16","Calomyrmex",""
"17","Dilobocondyla","Dilobocondyla fulva"
"18","Amblyopone","Amblyopone armigera"
"19","Camponotus","Camponotus ligeus"
"20","Camponotus","Camponotus christi"
"21","Camponotus","Camponotus urichi"
"22","Camponotus","Camponotus linnaei"
"23","Dolichoderus","Dolichoderus mesonotalis"
"24","Solenopsis","Solenopsis major"
"25","Myrmecia","Myrmecia fuscipes"
"26","Lasius","Lasius capitatus"
"27","Pheidole","Pheidole megacephala"
"28","Pheidole","Pheidole biconstricta"
"29","Leptothorax","Leptothorax ambiguus"
"30","Crematogaster","Crematogaster brevispinosa"
"31","Crematogaster","Crematogaster natalensis"
"32","Leptothorax","Leptothorax rottenbergii"
"33","Camponotus","Camponotus rufoglaucus"
"34","Strumigenys","Strumigenys odacon"
"35","Pheidole","Pheidole scabriventris"
"36","Technomyrmex","Technomyrmex vitiensis"
"37","Nesomyrmex","Nesomyrmex inhaca"
"38","Atopomyrmex","Atopomyrmex mocquerysi"
"39","Tetramorium","Tetramorium spinosum"
"40","Paratrechina","Paratrechina caeciliae"
"41","Monomorium","Monomorium kelapre"
"42","Monomorium","Monomorium trake"
"43","Myrmecina","Myrmecina mandibularis"
"44","Pristomyrmex",""
"45","Pristomyrmex","Pristomyrmex cribrarius"
"46","Calyptomyrmex","Calyptomyrmex emeryi"
"47","Alloformica","Alloformica flavicornis"
"48","Melissotarsus","Melissotarsus weissi"
"49","Ocymyrmex","Ocymyrmex robecchii"
"50","Tapinoma","Tapinoma silvestrii"
"51","Brachymyrmex","Brachymyrmex gagates"
"52","Polyrhachis","Polyrhachis fortis"
"53","Polyrhachis","Polyrhachis gibba"
"54","Romblonella","Romblonella elysii"
"55","Romblonella","Romblonella yapensis"
"56","Tetraponera","Tetraponera fictrix"
"57","Rhoptromyrmex","Rhoptromyrmex transversinodis"
"58","Anochetus","Anochetus mayri"
"59","Epopostruma","Epopostruma avicula"
"60","Acromyrmex","Acromyrmex laticeps"
"61","Rhytidoponera","Rhytidoponera levior"
"62","Rhytidoponera","Rhytidoponera scabra"
"63","Pheidole","Pheidole dyctiota"
"64","Tetramorium","Tetramorium jauresi"
"65","Tetramorium","Tetramorium doriae"
"66","Tetramorium","Tetramorium amaurum"
"67","Cylindromyrmex","Cylindromyrmex boliviae"
"68","Leptothorax","Leptothorax taivanensis"
"69","Crematogaster","Crematogaster hezaradjatica"
"70","Crematogaster","Crematogaster lucayana"
"71","Amblyopone","Amblyopone oregonensis"
"72","Zasphinctus","Zasphinctus asper"
"73","Eusphinctus","Eusphinctus brunnicornis"
"74","Aenictus","Aenictus turneri"
"75","Camponotus","Camponotus cuauhtemoc"
"76","Camponotus","Camponotus traegaordhi"
"77","Camponotus","Camponotus schmeltzi"
"78","Camponotus","Camponotus tepicanus"
"79","Solenopsis","Solenopsis emeryi"
"80","Brachymyrmex","Brachymyrmex longicornis"
"81","Leptomyrmex","Leptomyrmex erythrocephalus"
"82","Melophorus","Melophorus turneri"
"83","Pheidole","Pheidole arctos"
"84","Pheidole","Pheidole bison"
"85","Crematogaster","Crematogaster brevidentata"
"86","Camponotus","Camponotus maculatus"
"87","Lasius","Lasius latipes"
"88","Neivamyrmex","Neivamyrmex goyahkla"
"89","Camponotus","Camponotus termitarius"
"90","Adelomyrmex","Adelomyrmex anxiocalor"
"91","Melophorus","Melophorus pelecygnathus"
"92","Formosimyrma","Formosimyrma lanyuensis"
"93","Pheidole","Pheidole ferruginea"
"94","Trachymyrmex","Trachymyrmex farinosus"
"95","Pachycondyla","Pachycondyla javana"
"96","Monomorium","Monomorium iyenasu"
"97","Centromyrmex","Centromyrmex hamulatus"
"98","Cardiocondyla","Cardiocondyla koshewnikovi"
"99","Eurhopalothrix","Eurhopalothrix apharogonia"
"100","Anochetus","Anochetus levaillanti"
"101","Pachycondyla","Pachycondyla comorensis"
"102","Myrmicocrypta","Myrmicocrypta unidentata"
"103","Strumigenys","Strumigenys racabura"
"104","Strumigenys","Strumigenys hoplites"
"105","Pheidole","Pheidole rugaticeps"
"106","Pheidole","Pheidole hercules"
"107","Stigmacros","Stigmacros stanleyi"
"108","Tetramorium","Tetramorium proximum"
"109","Tetramorium","Tetramorium thoth"
"110","Iridomyrmex","Iridomyrmex adstringatus"
"111","Hypoponera","Hypoponera ludovicae"
"112","Pseudomyrmex","Pseudomyrmex fiebrigi"
"113","Goniomma","Goniomma collingwoodi"
"114","Camponotus","Camponotus planus"
"115","Camponotus","Camponotus korthalsiae"
"116","Camponotus","Camponotus indeflexus"
"117","Myrmecia","Myrmecia loweryi"
"118","Pheidole","Pheidole tasmaniensis"
"119","Pheidole","Pheidole sulcaticeps"
"120","Monomorium","Monomorium subapterum"
"121","Polyrhachis","Polyrhachis schang"
"122","Leptothorax","Leptothorax unifasciatus"
"123","Nesomyrmex","Nesomyrmex madecassus"
"124","Temnothorax","Temnothorax albipennis"
"125","Technomyrmex","Technomyrmex difficilis"
"126","Eciton","Eciton esenbecki"
"127","Crematogaster","Crematogaster bryophilia"
"128","Carebara","Carebara elongata"
"129","Melophorus","Melophorus canus"
"130","Melophorus","Melophorus vitreus"
"131","Odontomachus","Odontomachus minangkabau"
"132","Melophorus","Melophorus paramorphomenus"
"133","Pheidole","Pheidole ala"
"134","Camponotus","Camponotus macrocephalus"
"135","Temnothorax","Temnothorax rutabulafer"
"136","Formica","Formica strangulata"
"137","Polyrhachis","Polyrhachis venus"
"138","Eciton","Eciton rapax"
"139","Mycocepurus",""
"140","Anochetus","Anochetus siphneus"
"141","Pachycondyla","Pachycondyla lenkoi"
"142","Strumigenys","Strumigenys chernovi"
"143","Proceratium","Proceratium boltoni"
"144","Leptogenys","Leptogenys pubiceps"
"145","Pheidole","Pheidole umbonata"
"146","Tetramorium","Tetramorium wadje"
"147","Oligomyrmex","Oligomyrmex semilaevis"
"148","Crematogaster","Crematogaster impressa"
"149","Crematogaster","Crematogaster egidyi"
"150","Iridomyrmex","Iridomyrmex mirabilis"
