taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1314971	Formica creightoni Buren, 1968	1314971	Formica creightoni Buren, 1968	16	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Formica	1314840	Formica creightoni	1314971	
1316869	Tapinoma acuminatum Forel, 1907	1316869	Tapinoma acuminatum Forel, 1907	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Tapinoma	1316784	Tapinoma acuminatum	1316869	
1317371	Terataner alluaudi (Emery, 1895)	1317371	Terataner alluaudi (Emery, 1895)	613	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Terataner	1317363	Terataner alluaudi	1317371	
1319520	Anochetus africanus (Mayr, 1865)	1319520	Anochetus africanus (Mayr, 1865)	262	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Anochetus	1319461	Anochetus africanus	1319520	
1320723	Recurvidris hebe Bolton, 1992	1320723	Recurvidris hebe Bolton, 1992	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Recurvidris	1320716	Recurvidris hebe	1320723	
1320808	Plagiolepis dichroa Forel, 1902	1320808	Plagiolepis dichroa Forel, 1902	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Plagiolepis	1320758	Plagiolepis dichroa	1320808	
1321351	Leptogenys mactans Bolton, 1975	1321351	Leptogenys mactans Bolton, 1975	9	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Leptogenys	1321215	Leptogenys mactans	1321351	
1322264	Pheidole capensis Mayr, 1862	1322264	Pheidole capensis Mayr, 1862	179	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pheidole	1321654	Pheidole capensis	1322264	
1323287	Tetramorium concaviceps Bursakov, 1984	1323287	Tetramorium concaviceps Bursakov, 1984	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Tetramorium	1323128	Tetramorium concaviceps	1323287	
1323305	Tetramorium marginatum Forel, 1895	1323305	Tetramorium marginatum Forel, 1895	108	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Tetramorium	1323128	Tetramorium marginatum	1323305	
1323684	Oligomyrmex eidmanni (Menozzi, 1936)	1323684	Oligomyrmex eidmanni (Menozzi, 1936)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Oligomyrmex	1323617	Oligomyrmex eidmanni	1323684	
1324394	Crematogaster perelegans Forel, 1902	1324394	Crematogaster perelegans Forel, 1902	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Crematogaster	1324306	Crematogaster perelegans	1324394	
1324867	Crematogaster biformis Andre, 1892	1324867	Crematogaster biformis Andre, 1892	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Crematogaster	1324306	Crematogaster biformis	1324867	
1326825	Neivamyrmex vicinus Borgmeier, 1953	1326825	Neivamyrmex vicinus Borgmeier, 1953	6	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Neivamyrmex	1326810	Neivamyrmex vicinus	1326825	
